file_name,total,antithetical_disputation,apodictic_law,apodictic_prohibition,attributive_praise,beatitude_formula,casuistic_law,confessional_creed,covenant_promise,declarative_assertion,deliberative_rhetoric,dialogic_controversy,divine_oath_formula,doxological_formula,elenctic_questioning,enumerative_list,hymnic_praise,missionary_commission,narrative_chronicle,prophetic_admonition,prophetic_judgment_speech,royal_legitimation_formula,scriptural_warrant,theological_rationale,theophanic_declaration,theophanic_self_presentation,universal_truth_claim,woe_oracle,antithetical_disputation_rate,apodictic_law_rate,apodictic_prohibition_rate,attributive_praise_rate,beatitude_formula_rate,casuistic_law_rate,confessional_creed_rate,covenant_promise_rate,declarative_assertion_rate,deliberative_rhetoric_rate,dialogic_controversy_rate,divine_oath_formula_rate,doxological_formula_rate,elenctic_questioning_rate,enumerative_list_rate,hymnic_praise_rate,missionary_commission_rate,narrative_chronicle_rate,prophetic_admonition_rate,prophetic_judgment_speech_rate,royal_legitimation_formula_rate,scriptural_warrant_rate,theological_rationale_rate,theophanic_declaration_rate,theophanic_self_presentation_rate,universal_truth_claim_rate,woe_oracle_rate
bible_BKR_J.txt,1218,40,173,1,4,0,27,0,6,60,138,136,8,6,66,5,0,14,400,9,0,3,6,82,22,4,8,0,0.0328,0.142,0.0008,0.0033,0.0,0.0222,0.0,0.0049,0.0493,0.1133,0.1117,0.0066,0.0049,0.0542,0.0041,0.0,0.0115,0.3284,0.0074,0.0,0.0025,0.0049,0.0673,0.0181,0.0033,0.0066,0.0
bible_BKR_Jb.txt,1134,8,121,3,9,0,19,0,7,123,186,33,7,7,192,10,0,15,269,22,18,1,7,57,10,4,5,1,0.0071,0.1067,0.0026,0.0079,0.0,0.0168,0.0,0.0062,0.1085,0.164,0.0291,0.0062,0.0062,0.1693,0.0088,0.0,0.0132,0.2372,0.0194,0.0159,0.0009,0.0062,0.0503,0.0088,0.0035,0.0044,0.0009
bible_BKR_Jk.txt,143,5,32,1,2,0,6,0,0,11,24,4,0,0,10,4,0,3,19,7,4,1,0,8,0,0,2,0,0.035,0.2238,0.007,0.014,0.0,0.042,0.0,0.0,0.0769,0.1678,0.028,0.0,0.0,0.0699,0.028,0.0,0.021,0.1329,0.049,0.028,0.007,0.0,0.0559,0.0,0.0,0.014,0.0
bible_BKR_Jl.txt,93,1,27,0,0,0,2,0,0,7,9,2,0,0,2,0,0,0,22,2,2,0,2,7,0,8,0,0,0.0108,0.2903,0.0,0.0,0.0,0.0215,0.0,0.0,0.0753,0.0968,0.0215,0.0,0.0,0.0215,0.0,0.0,0.0,0.2366,0.0215,0.0215,0.0,0.0215,0.0753,0.0,0.086,0.0,0.0
bible_BKR_Jon.txt,67,1,10,0,0,0,0,0,1,4,7,4,0,0,4,1,0,2,25,1,0,0,0,5,2,0,0,0,0.0149,0.1493,0.0,0.0,0.0,0.0,0.0,0.0149,0.0597,0.1045,0.0597,0.0,0.0,0.0597,0.0149,0.0,0.0299,0.3731,0.0149,0.0,0.0,0.0,0.0746,0.0299,0.0,0.0,0.0
bible_BKR_Joz.txt,783,5,96,3,1,0,2,0,3,17,42,53,1,1,4,103,0,9,329,5,0,14,15,40,5,28,7,0,0.0064,0.1226,0.0038,0.0013,0.0,0.0026,0.0,0.0038,0.0217,0.0536,0.0677,0.0013,0.0013,0.0051,0.1315,0.0,0.0115,0.4202,0.0064,0.0,0.0179,0.0192,0.0511,0.0064,0.0358,0.0089,0.0
bible_BKR_Jr.txt,1715,33,334,0,1,0,27,3,7,113,178,96,1,7,103,26,0,26,316,61,8,80,28,129,42,76,11,9,0.0192,0.1948,0.0,0.0006,0.0,0.0157,0.0017,0.0041,0.0659,0.1038,0.056,0.0006,0.0041,0.0601,0.0152,0.0,0.0152,0.1843,0.0356,0.0047,0.0466,0.0163,0.0752,0.0245,0.0443,0.0064,0.0052
bible_BKR_Ju.txt,23,2,4,0,0,0,0,0,0,3,5,0,1,0,0,0,0,1,2,1,0,0,0,2,1,0,1,0,0.087,0.1739,0.0,0.0,0.0,0.0,0.0,0.0,0.1304,0.2174,0.0,0.0435,0.0,0.0,0.0,0.0,0.0435,0.087,0.0435,0.0,0.0,0.0,0.087,0.0435,0.0,0.0435,0.0
bible_BKR_Kaz.txt,297,5,57,0,1,0,6,0,3,20,32,26,3,2,20,9,0,5,61,7,1,4,3,21,8,0,2,1,0.0168,0.1919,0.0,0.0034,0.0,0.0202,0.0,0.0101,0.0673,0.1077,0.0875,0.0101,0.0067,0.0673,0.0303,0.0,0.0168,0.2054,0.0236,0.0034,0.0135,0.0101,0.0707,0.0269,0.0,0.0067,0.0034
bible_BKR_Ko.txt,74,2,22,0,1,0,3,1,0,5,4,11,1,2,0,2,0,3,6,1,1,1,0,3,2,1,2,0,0.027,0.2973,0.0,0.0135,0.0,0.0405,0.0135,0.0,0.0676,0.0541,0.1486,0.0135,0.027,0.0,0.027,0.0,0.0405,0.0811,0.0135,0.0135,0.0135,0.0,0.0405,0.027,0.0135,0.027,0.0
bible_BKR_L.txt,1404,33,199,2,9,1,21,1,13,77,112,155,3,5,71,9,0,21,494,20,4,5,9,87,29,7,9,8,0.0235,0.1417,0.0014,0.0064,0.0007,0.015,0.0007,0.0093,0.0548,0.0798,0.1104,0.0021,0.0036,0.0506,0.0064,0.0,0.015,0.3519,0.0142,0.0028,0.0036,0.0064,0.062,0.0207,0.005,0.0064,0.0057
bible_BKR_Lv.txt,1044,1,163,23,25,0,38,0,12,105,49,60,9,1,2,12,0,2,288,31,7,3,37,90,6,72,8,0,0.001,0.1561,0.022,0.0239,0.0,0.0364,0.0,0.0115,0.1006,0.0469,0.0575,0.0086,0.001,0.0019,0.0115,0.0,0.0019,0.2759,0.0297,0.0067,0.0029,0.0354,0.0862,0.0057,0.069,0.0077,0.0
bible_BKR_Mal.txt,100,1,14,0,1,0,1,0,0,4,14,16,0,1,12,3,0,0,13,3,2,1,0,8,2,3,1,0,0.01,0.14,0.0,0.01,0.0,0.01,0.0,0.0,0.04,0.14,0.16,0.0,0.01,0.12,0.03,0.0,0.0,0.13,0.03,0.02,0.01,0.0,0.08,0.02,0.03,0.01,0.0
