illocutionary_force,file_name,count,total,rate,corpus_mean,corpus_std,zscore,rank
directive,bible_BKR_1Tm.txt,40,101,0.396,0.2591,0.0809,1.694,3
directive,bible_BKR_2J.txt,5,14,0.3571,0.2591,0.0809,1.212,8
directive,bible_BKR_2K.txt,78,281,0.2776,0.2591,0.0809,0.229,26
directive,bible_BKR_2Kr.txt,205,1089,0.1882,0.2591,0.0809,-0.876,54
directive,bible_BKR_2P.txt,12,48,0.25,0.2591,0.0809,-0.112,36
directive,bible_BKR_2Pa.txt,127,1045,0.1215,0.2591,0.0809,-1.701,63
directive,bible_BKR_2S.txt,202,1057,0.1911,0.2591,0.0809,-0.84,53
directive,bible_BKR_2Te.txt,9,37,0.2432,0.2591,0.0809,-0.196,39
directive,bible_BKR_2Tm.txt,22,85,0.2588,0.2591,0.0809,-0.003,34
directive,bible_BKR_3J.txt,7,20,0.35,0.2591,0.0809,1.125,10
directive,bible_BKR_Abd.txt,11,32,0.3438,0.2591,0.0809,1.048,13
directive,bible_BKR_Abk.txt,23,79,0.2911,0.2591,0.0809,0.396,22
directive,bible_BKR_Ag.txt,15,47,0.3191,0.2591,0.0809,0.743,15
directive,bible_BKR_Am.txt,54,176,0.3068,0.2591,0.0809,0.59,19
directive,bible_BKR_Da.txt,72,451,0.1596,0.2591,0.0809,-1.23,60
directive,bible_BKR_Dt.txt,267,976,0.2736,0.2591,0.0809,0.18,29
directive,bible_BKR_Ef.txt,38,95,0.4,0.2591,0.0809,1.743,2
directive,bible_BKR_Est.txt,37,219,0.1689,0.2591,0.0809,-1.115,58
directive,bible_BKR_Ex.txt,287,1668,0.1721,0.2591,0.0809,-1.075,57
directive,bible_BKR_Ez.txt,310,1500,0.2067,0.2591,0.0809,-0.647,51
directive,bible_BKR_Ezd.txt,17,257,0.0661,0.2591,0.0809,-2.386,65
directive,bible_BKR_Fm.txt,8,21,0.381,0.2591,0.0809,1.508,6
directive,bible_BKR_Fp.txt,31,89,0.3483,0.2591,0.0809,1.104,12
directive,bible_BKR_Ga.txt,46,167,0.2754,0.2591,0.0809,0.202,27
directive,bible_BKR_Gn.txt,381,2268,0.168,0.2591,0.0809,-1.126,59
directive,bible_BKR_Iz.txt,487,1770,0.2751,0.2591,0.0809,0.198,28
directive,bible_BKR_J.txt,284,1218,0.2332,0.2591,0.0809,-0.32,44
