Source,Target,Weight,pair_count,Type
syn,davida,9.576,5,Undirected
syn,jméno,8.36,11,Undirected
syn,dnes,9.161,5,Undirected
syn,šalomoun,8.687,6,Undirected
syn,bratra,8.576,5,Undirected
syn,tvého,8.424,5,Undirected
syn,david,8.309,6,Undirected
syn,krev,7.839,5,Undirected
syn,dům,7.8,6,Undirected
syn,milosrdenství,7.792,5,Undirected
syn,tom,7.55,6,Undirected
syn,potom,7.461,5,Undirected
syn,lid,7.191,5,Undirected
syn,což,6.409,6,Undirected
toho,času,10.349,7,Undirected
toho,abyste,9.018,8,Undirected
toho,tím,9.372,6,Undirected
toho,což,8.401,11,Undirected
toho,města,9.22,6,Undirected
toho,pročež,8.91,5,Undirected
toho,skutek,8.735,5,Undirected
toho,jakž,8.22,5,Undirected
abych,toliko,10.457,6,Undirected
abych,oznámil,10.718,5,Undirected
abych,měl,9.852,6,Undirected
což,děje,10.649,5,Undirected
což,tím,9.549,7,Undirected
