word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
hřích,volka,4,8.348,8.348,0.064,0.064
milovat,učedlník,4,8.346,8.346,0.062,0.062
nebe,pravda,6,8.346,8.346,0.647,0.647
nenávidět,tvář,3,8.343,8.343,-0.356,0.0
nepřítel,ruka,3,8.338,8.338,-0.361,0.0
hřích,oběť,15,8.329,8.329,1.952,1.952
bůh,cizí,3,8.323,8.323,-0.377,0.0
bůh,příchozí,3,8.323,8.323,-0.377,0.0
bůh,modlit,3,8.323,8.323,-0.377,0.0
slovo,svatý,3,8.32,8.32,-0.379,0.0
dům,izrael,3,8.298,8.298,-0.401,0.0
boží,živý,3,8.29,8.29,-0.41,0.0
rada,věc,4,8.29,8.29,0.005,0.005
hospodin,oslavovat,8,8.264,8.264,0.98,0.98
pravý,soud,3,8.257,8.257,-0.442,0.0
hřích,očistit,3,8.255,8.255,-0.444,0.0
hřích,odpouštět,3,8.255,8.255,-0.444,0.0
aron,hřích,3,8.255,8.255,-0.444,0.0
bůh,dokonalý,4,8.252,8.252,-0.032,0.0
bydlit,bůh,4,8.252,8.252,-0.032,0.0
bůh,přivést,4,8.252,8.252,-0.032,0.0
odvrátit,činit,5,8.249,8.249,0.287,0.287
jít,vidět,3,8.246,8.246,-0.453,0.0
ostříhat,slovo,3,8.238,8.238,-0.461,0.0
jiný,země,4,8.229,8.229,-0.056,0.0
dělat,činit,3,8.213,8.213,-0.486,0.0
dům,svatý,3,8.211,8.211,-0.488,0.0
david,den,3,8.201,8.201,-0.499,0.0
všecek,všecka,3,8.201,8.201,-0.499,0.0
spravedlnost,umřít,3,8.196,8.196,-0.503,0.0
pravda,starý,3,8.194,8.194,-0.505,0.0
milovat,milování,3,8.194,8.194,-0.505,0.0
oblak,pravda,3,8.194,8.194,-0.505,0.0
bezbožný,hříšník,5,8.188,8.188,0.226,0.226
bezbožný,přicházet,4,8.188,8.188,-0.096,0.0
bezbožný,zlost,4,8.188,8.188,-0.096,0.0
bezbožný,hynout,3,8.188,8.188,-0.511,0.0
ohavnost,pravost,3,8.174,8.174,-0.525,0.0
hospodin,líbit,5,8.171,8.171,0.209,0.209
manželka,mít,3,8.162,8.162,-0.537,0.0
brána,mít,3,8.162,8.162,-0.537,0.0
mít,některý,3,8.162,8.162,-0.537,0.0
oko,věc,12,8.152,8.152,1.453,1.453
cesta,umřít,3,8.132,8.132,-0.567,0.0
milovat,vespolek,4,8.124,8.124,-0.16,0.0
soud,spravedlnost,8,8.12,8.12,0.835,0.835
bezbožník,pravost,4,8.12,8.12,-0.165,0.0
bezbožník,spravedlivý,15,8.101,8.101,1.723,1.723
všecka,všeliký,3,8.097,8.097,-0.602,0.0
nenávidět,svět,4,8.095,8.095,-0.189,0.0
ovoce,země,3,8.094,8.094,-0.606,0.0
milosrdenství,pravda,20,8.083,8.083,2.121,2.121
bezbožný,odvrátit,6,8.073,8.073,0.374,0.374
obmýšlet,zlý,4,8.071,8.071,-0.213,0.0
přivodit,zlý,3,8.071,8.071,-0.628,0.0
zlý,čiň,3,8.071,8.071,-0.628,0.0
zlý,způsobit,4,8.071,8.071,-0.213,0.0
saule,zlý,3,8.071,8.071,-0.628,0.0
achabův,zlý,3,8.071,8.071,-0.628,0.0
horší,zlý,3,8.071,8.071,-0.628,0.0
zlý,zvědět,3,8.071,8.071,-0.628,0.0
sedm,zlý,3,8.071,8.071,-0.628,0.0
litovat,zlý,4,8.071,8.071,-0.213,0.0
vyřknout,zlý,3,8.071,8.071,-0.628,0.0
předsevzetí,zlý,3,8.071,8.071,-0.628,0.0
fík,zlý,3,8.071,8.071,-0.628,0.0
vykonávat,zlý,3,8.071,8.071,-0.628,0.0
těžkost,zlý,3,8.071,8.071,-0.628,0.0
bůh,odpustit,4,8.06,8.06,-0.225,0.0
bůh,milý,3,8.06,8.06,-0.64,0.0
bůh,láska,5,8.06,8.06,0.097,0.097
oblíčej,činit,3,8.043,8.043,-0.656,0.0
všecek,všeliký,3,8.043,8.043,-0.656,0.0
hospodin,noc,3,8.019,8.019,-0.68,0.0
hospodin,vyslýchat,3,8.019,8.019,-0.68,0.0
jeden,svět,3,8.016,8.016,-0.684,0.0
jeden,oběť,3,8.016,8.016,-0.684,0.0
duch,člověk,3,8.012,8.012,-0.687,0.0
den,pokoj,4,7.994,7.994,-0.29,0.0
hřích,odpustit,5,7.992,7.992,0.03,0.03
duch,dům,3,7.976,7.976,-0.723,0.0
mít,užitek,3,7.969,7.969,-0.73,0.0
mít,shromáždění,3,7.969,7.969,-0.73,0.0
bezbožný,veselí,3,7.966,7.966,-0.733,0.0
dům,všecek,4,7.958,7.958,-0.326,0.0
spravedlnost,víra,3,7.949,7.949,-0.751,0.0
člověk,život,4,7.942,7.942,-0.343,0.0
uvést,věc,5,7.933,7.933,-0.029,0.0
hřích,výsost,3,7.933,7.933,-0.766,0.0
hřích,vyhledávat,3,7.933,7.933,-0.766,0.0
pravda,přikázaný,4,7.931,7.931,-0.353,0.0
druhý,milovat,10,7.931,7.931,0.969,0.969
dcera,milovat,3,7.931,7.931,-0.768,0.0
jákobův,pravda,3,7.931,7.931,-0.768,0.0
pravda,vynášet,3,7.931,7.931,-0.768,0.0
milovat,radovat,3,7.931,7.931,-0.768,0.0
pravda,vysoký,4,7.931,7.931,-0.353,0.0
bezbožný,upřímý,5,7.925,7.925,-0.037,0.0
boží,všeliký,3,7.891,7.891,-0.808,0.0
prostřed,věc,3,7.875,7.875,-0.825,0.0
jíst,věc,3,7.875,7.875,-0.825,0.0
hřích,přivést,4,7.863,7.863,-0.422,0.0
hřích,prosit,4,7.863,7.863,-0.422,0.0
hřích,zhřešit,8,7.863,7.863,0.578,0.578
oko,všecek,3,7.857,7.857,-0.843,0.0
věk,země,4,7.857,7.857,-0.428,0.0
dát,země,4,7.857,7.857,-0.428,0.0
učinit,vidět,7,7.856,7.856,0.379,0.379
hospodin,přímý,4,7.849,7.849,-0.435,0.0
dcera,hospodin,4,7.849,7.849,-0.435,0.0
hospodin,jákobův,4,7.849,7.849,-0.435,0.0
bázeň,hospodin,4,7.849,7.849,-0.435,0.0
lidé,přijít,3,7.826,7.826,-0.873,0.0
dobrý,čiň,3,7.818,7.818,-0.881,0.0
dobrý,učid,3,7.818,7.818,-0.881,0.0
dobrý,hrazený,4,7.818,7.818,-0.466,0.0
dobrý,stromový,3,7.818,7.818,-0.881,0.0
dobrý,ezechiáš,3,7.818,7.818,-0.881,0.0
absolon,dobrý,3,7.818,7.818,-0.881,0.0
dobrý,učení,3,7.818,7.818,-0.881,0.0
dobrý,učiňit,3,7.818,7.818,-0.881,0.0
dobrý,pastýř,3,7.818,7.818,-0.881,0.0
dobrý,uvržený,3,7.818,7.818,-0.881,0.0
dobrý,vyťat,4,7.818,7.818,-0.466,0.0
dobrý,napomínat,5,7.818,7.818,-0.144,0.0
prostředek,zlý,5,7.808,7.808,-0.154,0.0
mít,proč,3,7.799,7.799,-0.9,0.0
jaký,mít,3,7.799,7.799,-0.9,0.0
hřích,obětovat,6,7.796,7.796,0.096,0.096
milovat,petr,5,7.794,7.794,-0.168,0.0
skutek,učinit,6,7.786,7.786,0.086,0.086
pokání,spravedlivý,4,7.779,7.779,-0.506,0.0
bezbožný,dít,3,7.773,7.773,-0.926,0.0
bezbožný,naděje,3,7.773,7.773,-0.926,0.0
hřích,tělo,8,7.763,7.763,0.479,0.479
bezbožník,nenávidět,3,7.758,7.758,-0.941,0.0
dít,hospodin,5,7.756,7.756,-0.206,0.0
oko,činit,9,7.753,7.753,0.639,0.639
vydávat,zlý,4,7.749,7.749,-0.535,0.0
slunce,zlý,4,7.749,7.749,-0.535,0.0
jeden,všickn,3,7.74,7.74,-0.959,0.0
bůh,izraelský,6,7.738,7.738,0.038,0.038
buď,věc,3,7.737,7.737,-0.962,0.0
bydlit,pravda,3,7.709,7.709,-0.99,0.0
juda,milovat,3,7.709,7.709,-0.99,0.0
milovat,nenávist,3,7.709,7.709,-0.99,0.0
manželka,milovat,3,7.709,7.709,-0.99,0.0
pravda,učiněný,3,7.709,7.709,-0.99,0.0
věc,řeč,4,7.705,7.705,-0.58,0.0
boží,spravedlnost,4,7.705,7.705,-0.58,0.0
pravý,věc,4,7.705,7.705,-0.58,0.0
takový,věc,4,7.705,7.705,-0.58,0.0
hospodin,izraelský,9,7.697,7.697,0.583,0.583
egyptský,hospodin,3,7.697,7.697,-1.002,0.0
hospodin,příchozí,3,7.697,7.697,-1.002,0.0
hospodin,zástup,3,7.697,7.697,-1.002,0.0
pravda,slyšet,8,7.683,7.683,0.399,0.399
dobrý,strom,10,7.681,7.681,0.718,0.718
nic,skutek,3,7.679,7.679,-1.021,0.0
hřích,vydat,5,7.67,7.67,-0.292,0.0
toba,učinit,4,7.67,7.67,-0.614,0.0
hřích,všecky,3,7.67,7.67,-1.029,0.0
hřích,vinný,3,7.67,7.67,-1.029,0.0
hřích,pravice,3,7.67,7.67,-1.029,0.0
poslat,pravda,5,7.668,7.668,-0.294,0.0
bývat,člověk,4,7.662,7.662,-0.623,0.0
zlý,žádat,3,7.656,7.656,-1.043,0.0
ucho,zlý,3,7.656,7.656,-1.043,0.0
zlý,zůřivý,3,7.656,7.656,-1.043,0.0
meč,zlý,3,7.656,7.656,-1.043,0.0
skrýt,zlý,3,7.656,7.656,-1.043,0.0
hojný,zlý,3,7.656,7.656,-1.043,0.0
půlnoc,zlý,3,7.656,7.656,-1.043,0.0
potkat,zlý,3,7.656,7.656,-1.043,0.0
slyšet,země,3,7.653,7.653,-1.046,0.0
mít,zdaliž,3,7.647,7.647,-1.052,0.0
bůh,zdali,3,7.645,7.645,-1.055,0.0
bůh,množství,3,7.645,7.645,-1.055,0.0
hřích,pravost,27,7.644,7.644,2.114,2.114
spravedlnost,činit,11,7.628,7.628,0.803,0.803
světlo,činit,3,7.628,7.628,-1.071,0.0
hříšník,spravedlivý,6,7.627,7.627,-0.073,0.0
nešlechetník,spravedlivý,3,7.627,7.627,-1.073,0.0
hospodin,ssoužení,4,7.627,7.627,-0.657,0.0
marnost,spravedlivý,3,7.627,7.627,-1.073,0.0
hospodin,modlitba,4,7.627,7.627,-0.657,0.0
učinit,všecek,4,7.616,7.616,-0.669,0.0
