word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
pán,víra,9,8.288,8.288,0.149,0.149
evangelium,kristus,6,8.277,8.277,-0.447,0.0
bůh,učinil,14,8.269,8.269,0.767,0.767
bůh,duši,5,8.262,8.262,-0.725,0.0
bůh,ovoce,5,8.262,8.262,-0.725,0.0
syn,tvého,5,8.259,8.259,-0.728,0.0
buď,kristus,5,8.255,8.255,-0.732,0.0
bůh,zlý,11,8.252,8.252,0.403,0.403
král,věky,5,8.251,8.251,-0.736,0.0
hospodin,měsíce,9,8.225,8.225,0.086,0.086
bůh,světlo,8,8.223,8.223,-0.085,0.0
aniž,den,7,8.214,8.214,-0.288,0.0
hospodin,jozue,7,8.203,8.203,-0.299,0.0
jméno,syn,11,8.195,8.195,0.346,0.346
hospodin,jdi,6,8.187,8.187,-0.537,0.0
otec,syn,18,8.181,8.181,1.042,1.042
města,země,6,8.167,8.167,-0.557,0.0
vší,země,6,8.167,8.167,-0.557,0.0
hospodin,judského,5,8.165,8.165,-0.822,0.0
bůh,dobrý,11,8.162,8.162,0.313,0.313
bůh,všeho,5,8.162,8.162,-0.825,0.0
hospodin,zlý,14,8.156,8.156,0.654,0.654
david,syn,6,8.144,8.144,-0.58,0.0
dal,král,8,8.129,8.129,-0.18,0.0
evangelium,ježíš,6,8.112,8.112,-0.611,0.0
boží,milost,6,8.091,8.091,-0.633,0.0
bratří,pán,7,8.084,8.084,-0.417,0.0
hospodin,ústa,6,8.08,8.08,-0.644,0.0
hospodin,hoře,6,8.08,8.08,-0.644,0.0
bůh,viděl,9,8.059,8.059,-0.08,0.0
hospodin,izraelského,5,8.039,8.039,-0.947,0.0
dobrý,země,6,8.03,8.03,-0.694,0.0
hospodin,zdaliž,14,8.022,8.022,0.521,0.521
bůh,ježíš,42,8.02,8.02,2.104,2.104
kristus,moudrost,5,8.014,8.014,-0.973,0.0
kristus,pravda,5,8.014,8.014,-0.973,0.0
kněz,král,8,8.012,8.012,-0.297,0.0
duch,pán,12,8.003,8.003,0.279,0.279
kristus,pán,19,7.997,7.997,0.936,0.936
buď,pán,5,7.981,7.981,-1.006,0.0
hospodin,poušti,6,7.981,7.981,-0.743,0.0
hospodin,veliký,6,7.981,7.981,-0.743,0.0
den,přišel,5,7.978,7.978,-1.009,0.0
hospodin,slovo,38,7.965,7.965,1.905,1.905
anděl,hospodin,9,7.949,7.949,-0.19,0.0
domu,král,9,7.947,7.947,-0.192,0.0
bůh,noc,8,7.94,7.94,-0.369,0.0
hospodin,úst,5,7.924,7.924,-1.063,0.0
hospodin,žeť,5,7.924,7.924,-1.063,0.0
hospodin,knížata,5,7.924,7.924,-1.063,0.0
bůh,lidem,5,7.899,7.899,-1.088,0.0
hospodin,řkouce,6,7.887,7.887,-0.836,0.0
hospodin,synům,6,7.887,7.887,-0.836,0.0
hospodin,kněz,19,7.878,7.878,0.817,0.817
ježíš,jméno,6,7.874,7.874,-0.85,0.0
bůh,jeruzalémě,6,7.873,7.873,-0.851,0.0
bůh,člověka,6,7.873,7.873,-0.851,0.0
hospodin,odpověděl,10,7.87,7.87,-0.117,0.0
den,srdce,5,7.866,7.866,-1.121,0.0
muž,země,5,7.857,7.857,-1.13,0.0
slovo,syn,18,7.844,7.844,0.705,0.705
budiž,hospodin,5,7.817,7.817,-1.17,0.0
hlavu,hospodin,5,7.817,7.817,-1.17,0.0
dnů,hospodin,10,7.817,7.817,-0.17,0.0
eliáš,hospodin,5,7.817,7.817,-1.17,0.0
hospodin,lidé,5,7.817,7.817,-1.17,0.0
hospodin,proroka,5,7.817,7.817,-1.17,0.0
ježíš,nebe,5,7.813,7.813,-1.174,0.0
hospodin,milosrdenství,11,7.808,7.808,-0.042,0.0
hospodin,zajetí,6,7.8,7.8,-0.924,0.0
bůh,věky,7,7.799,7.799,-0.702,0.0
hospodin,tvého,7,7.788,7.788,-0.714,0.0
hospodin,přišli,8,7.779,7.779,-0.53,0.0
hospodin,léta,8,7.779,7.779,-0.53,0.0
jméno,pán,6,7.764,7.764,-0.959,0.0
