word,top_neighbors
poušti,země:8.904; hospodin:7.981
pravda,slovo:8.869; kristus:8.014
nebe,země:8.867; boží:8.506; ježíš:7.813; hospodin:6.981; bůh:6.747
navraťte,hospodin:8.817
satan,hospodin:8.788
anna,hospodin:8.718
oblíčejem,pán:8.703
dal,země:8.635; bůh:8.362; král:8.129; hospodin:7.448
izraelský,hospodin:8.624
dílo,bůh:8.609
david,král:8.568; syn:8.144; hospodin:6.924
vydal,bůh:8.554
všecka,země:8.55; hospodin:7.101
jeruzalémě,král:8.546; bůh:7.873
jeruzaléma,král:8.546
pročež,král:8.537; hospodin:7.156
budiž,bůh:8.525; hospodin:7.817
slávu,bůh:8.484
odpovídaje,hospodin:8.455
elí,hospodin:8.455
silný,hospodin:8.455
národům,hospodin:8.455
němž,země:8.43; bůh:7.688
obyvatele,hospodin:8.428
bratra,syn:8.411
učinil,král:8.399; bůh:8.269; země:7.525; hospodin:7.477
krev,kristus:8.393; syn:7.674; hospodin:6.718
dítě,hospodin:8.303
vašich,hospodin:8.303
medle,hospodin:8.303
ruky,hospodin:8.303
jeruzalém,hospodin:8.303
duši,bůh:8.262
aniž,den:8.214; země:7.351; hospodin:7.303; bůh:7.095
jméno,syn:8.195; ježíš:7.874; pán:7.764; bůh:6.545; hospodin:6.364
jdi,hospodin:8.187
města,země:8.167
vší,země:8.167
všeho,bůh:8.162
ústa,hospodin:8.08
hoře,hospodin:8.08
izraelského,hospodin:8.039
zdaliž,hospodin:8.022; bůh:7.66
přišel,den:7.978
úst,hospodin:7.924
žeť,hospodin:7.924
knížata,hospodin:7.924
lidem,bůh:7.899; hospodin:7.455
řkouce,hospodin:7.887
člověka,bůh:7.873
odpověděl,hospodin:7.87
srdce,den:7.866; bůh:7.425; hospodin:7.303
muž,země:7.857; hospodin:7.156
hlavu,hospodin:7.817
eliáš,hospodin:7.817
lidé,hospodin:7.817
zajetí,hospodin:7.8
přišli,hospodin:7.779
všem,bůh:7.747
více,hospodin:7.718
vyšel,hospodin:7.718
kde,hospodin:7.718
prosím,hospodin:7.718
ním,král:7.714; hospodin:7.333; země:7.256
člověk,bůh:7.688; hospodin:7.244
vody,bůh:7.688
dům,syn:7.635; hospodin:7.552; bůh:7.345
slávy,bůh:7.609
zákon,hospodin:7.602
pravím,hospodin:7.586
tebou,hospodin:7.566
meč,hospodin:7.566
hlas,hospodin:7.466
ruku,hospodin:7.455
ode,hospodin:7.428
skutek,bůh:7.425
toliko,hospodin:7.364
lid,hospodin:7.333; země:7.256; syn:7.027; bůh:6.777
prostřed,hospodin:7.303
tvých,hospodin:7.303
potom,syn:7.296; hospodin:7.187
přikázal,hospodin:7.232
zase,hospodin:7.165
kdež,hospodin:7.101
žádného,hospodin:7.101
syny,hospodin:6.981
měl,bůh:6.94
