subj,verb,obj,count_total
kterýž,mít,ucho,5
kdo,oznámit,on,5
kdož,zabít,volo,5
on,vstoupit,loď,5
kdož,věřit,já,5
otec,opustit,já,5
učedlník,otázat,on,5
kdo,věřit,já,5
já,milovat,já,5
já,pojít,vy,5
kterýž,mít,slovo,5
já,posílat,vy,5
kterýž,stát,den,5
kterýž,honit,on,5
hospodin,vysušit,tvář,5
Mojžíš,přikázat,kterýž,5
hospodin,říci,Jozue,5
kterýž,vyjít,Egypt,5
kterýž,kralovat,Ezebon,5
kterýž,prorokovat,jméno,5
já,pojít,on,5
kterýž,prorokovat,vy,5
Petr,dát,jméno,5
víra,uzdravit,ty,5
kterýž,mít,duch,5
což,být,bůh,5
já,povdat,vy,5
Ježíš,zvolat,hlas,5
kněz,očistit,hřích,5
ráno,být,jenž,5
kterýž,mít,vada,5
někdo,vyplatit,on,5
Chananiáš,opravovat,on,5
kterýž,poznat,muž,5
duše,milovat,kteréhož,5
kterýž,vzkřísit,Ježíš,5
kterýž,být,Antiochie,5
kterýž,být,pohan,5
Dobrořeč,mít,hospodin,5
církev,psát,anděl,5
kdož,milovat,bratr,4
kdož,činit,vůle,4
kdož,činit,spravedlnost,4
kdož,činit,hřích,4
kole,prosit,zenž,4
kterýž,vzývat,jméno,4
bůh,vyvolit,ten,4
co,být,člověk,4
co,být,on,4
žena,mít,moc,4
muž,mít,moc,4
vdaný,pečovat,ten,4
vdaný,pečovat,věc,4
Kristus,vstát,mrtvý,4
tento,obléci,smrtelný,4
ť,pozdravovat,vy,4
král,poslat,on,4
léta,kralovat,Hebron,4
léta,kralovat,Jeruzalém,4
král,poslat,syn,4
král,ustanovit,on,4
král,ustanovit,vojsko,4
král,ustanovit,kněz,4
král,ustanovit,Abiatar,4
ten,líbit,hospodin,4
Šalomoun,obložit,zlato,4
dvéřa,otvírat,strana,4
lištování,být,on,4
lištování,být,kraj,4
pět,postavit,strana,4
moře,postavit,strana,4
kterýž,mluvit,David,4
kterýž,ostříhat,smlouva,4
hospodin,učinit,kterýž,4
kterýž,vyvést,otec,4
hospodin,uvést,on,4
kterýž,pozůstat,on,4
kterýž,stát,teba,4
kterýž,ostříhat,přikázaní,4
otec,trestat,vy,4
otec,trestat,bičík,4
kterýž,být,plat,4
kterýž,postoupit,Amri,4
kterýž,postoupit,Tebni,4
kterýž,postoupit,syn,4
Achab,kralovat,Izrael,4
Achab,kralovat,Samaří,4
Abdiáš,jít,cesta,4
Jéh,pomazat,syn,4
Jéh,ujít,meč,4
Jéh,zamordovat,ten,4
Elizeus,zamordovat,ten,4
ten,pravit,jiný,4
jiný,pravit,jiný,4
kterýž,mít,naděje,4
Kristus,trpět,tělo,4
kdož,trpět,tělo,4
Arfaxad,zplodit,Hebera,4
Bóz,zplodit,Obéda,4
kterýž,porodit,on,4
Uri,zplodit,Bezeleele,4
ten,mít,syn,4
kterýž,uvést,on,4
Saul,zplodit,Jonata,4
Achaz,zplodit,Jehoad,4
Achaz,zplodit,Alemeta,4
syn,učinit,ten,4
hospodin,požehnat,věc,4
hospodin,vyvolit,ten,4
Cožkoli,být,srdce,4
David,porazit,vojsko,4
David,poslat,poslo,4
on,utéci,on,4
ráno,nechat,ť,4
což,být,tvůj,4
já,být,on,4
ten,být,ty,4
ten,přijít,my,4
což,mluvit,toba,4
syn,být,vy,4
tisíc,být,Saul,4
tisíc,být,Jonata,4
tisíc,být,Gabaa,4
ten,být,my,4
hospodin,vysvobodit,den,4
filistinský,stát,hora,4
filistinský,stát,strana,4
izraelský,stát,hora,4
izraelský,stát,strana,4
král,sedět,stolice,4
kterýž,mít,svůj,4
pasouka,být,den,4
kterýž,být,cesta,4
kterýž,být,Jeter,4
kterýž,být,Ježíš,4
bůh,stvořit,kterýž,4
ť,být,on,4
on,být,lidé,4
žeť,spustit,ty,4
kterýž,být,Jericho,4
král,roztrhnout,roucho,4
on,říci,jenž,4
kterýž,mluvit,dům,4
kterýž,přicházet,sobota,4
Joas,poslat,Amaziáš,4
