cluster,word1,word2,pair_count,pmi,matched_seed
theological_cluster,hospodin,toliko,6,7.529,hospodin
theological_cluster,bůh,pokolení,6,7.409,bůh
theological_cluster,hospodin,člověk,6,7.408,hospodin
theological_cluster,hospodin,království,6,7.297,hospodin
theological_cluster,býti,bůh,6,7.287,bůh
theological_cluster,hospodin,těm,6,7.245,hospodin
theological_cluster,bůh,tom,6,7.037,bůh
theological_cluster,den,slovo,6,7.03,slovo
theological_cluster,bůh,lid,6,6.942,bůh
theological_cluster,abych,bůh,6,6.796,bůh
theological_cluster,bůh,věci,6,6.769,bůh
theological_cluster,bůh,všech,6,6.769,bůh
theological_cluster,bůh,těch,6,6.742,bůh
theological_cluster,hospodin,jméno,6,6.529,hospodin
theological_cluster,abych,hospodin,6,6.352,hospodin
theological_cluster,milost,nalezla,5,12.097,milost
theological_cluster,bratr,kristus,5,10.657,kristus
theological_cluster,kristus,vůli,5,10.657,kristus
theological_cluster,bratr,ježíš,5,10.492,ježíš
theological_cluster,ježíš,vůli,5,10.492,ježíš
theological_cluster,slovo,slyšte,5,10.374,slovo
theological_cluster,kristus,mrtvých,5,10.142,kristus
theological_cluster,počátku,slovo,5,10.026,slovo
theological_cluster,vaše,víra,5,9.976,víra
theological_cluster,kristus,naděje,5,9.764,kristus
theological_cluster,bůh,izraeli,5,9.649,bůh
theological_cluster,duch,moci,5,9.489,duch
theological_cluster,aggea,hospodin,5,9.467,hospodin
theological_cluster,hospodin,vzbudil,5,9.467,hospodin
theological_cluster,hospodin,neodpustím,5,9.467,hospodin
theological_cluster,hospodin,vypléním,5,9.467,hospodin
theological_cluster,milosrdenství,milost,5,9.464,milost
theological_cluster,kristus,nebyl,5,9.377,kristus
theological_cluster,bůh,job,5,9.234,bůh
theological_cluster,kristus,služebník,5,9.072,kristus
theological_cluster,hospodin,navraťte,5,8.982,hospodin
theological_cluster,hospodin,vyvedl,5,8.982,hospodin
theological_cluster,bůh,suché,5,8.912,bůh
theological_cluster,oblíčejem,pán,5,8.868,pán
theological_cluster,hospodin,izraelský,5,8.789,hospodin
theological_cluster,hospodin,prvního,5,8.789,hospodin
theological_cluster,dává,hospodin,5,8.789,hospodin
theological_cluster,amen,bůh,5,8.774,bůh
theological_cluster,bůh,dílo,5,8.774,bůh
theological_cluster,kristus,láska,5,8.709,kristus
theological_cluster,bůh,slávu,5,8.649,bůh
theological_cluster,hospodin,odpovídaje,5,8.619,hospodin
theological_cluster,elí,hospodin,5,8.619,hospodin
theological_cluster,hospodin,silný,5,8.619,hospodin
theological_cluster,hospodin,národům,5,8.619,hospodin
theological_cluster,hospodin,izraelští,5,8.619,hospodin
theological_cluster,krev,kristus,5,8.557,kristus
theological_cluster,ježíš,všechněm,5,8.545,ježíš
theological_cluster,dítě,hospodin,5,8.467,hospodin
theological_cluster,hospodin,ruky,5,8.467,hospodin
theological_cluster,bůh,duši,5,8.426,bůh
theological_cluster,bůh,ovoce,5,8.426,bůh
theological_cluster,buď,kristus,5,8.42,kristus
theological_cluster,hospodin,judského,5,8.33,hospodin
theological_cluster,budeme,bůh,5,8.327,bůh
theological_cluster,bůh,všeho,5,8.327,bůh
theological_cluster,hospodin,izraelského,5,8.204,hospodin
theological_cluster,kristus,moudrost,5,8.179,kristus
theological_cluster,kristus,pravda,5,8.179,kristus
theological_cluster,buď,pán,5,8.145,pán
theological_cluster,hospodin,úst,5,8.089,hospodin
theological_cluster,hospodin,žeť,5,8.089,hospodin
theological_cluster,hospodin,knížata,5,8.089,hospodin
theological_cluster,bůh,lidem,5,8.064,bůh
theological_cluster,budiž,hospodin,5,7.982,hospodin
theological_cluster,hlavu,hospodin,5,7.982,hospodin
theological_cluster,eliáš,hospodin,5,7.982,hospodin
theological_cluster,hospodin,lidé,5,7.982,hospodin
theological_cluster,hospodin,proroka,5,7.982,hospodin
theological_cluster,ježíš,nebe,5,7.978,ježíš
theological_cluster,bůh,všem,5,7.912,bůh
theological_cluster,hospodin,vyšel,5,7.882,hospodin
